,Image_id,Text,label_list,object_list
0,01235.png,"when you're feeling horny
asi but your habibi is on periods let's try a goat
","['Finger', 'Text', 'Gesture', 'Hand', 'Sign language', 'Font', 'Thumb', 'Photo caption', 'Smile']","['Person', 'Hat', 'Clothing']"
1,01236.png,"meanwhile at the isis strip club
","['People', 'Facial expression', 'Smile', 'Human', 'Friendship', 'Forehead', 'Turban', 'Fun', 'Adaptation', 'Happy']","['Hat', 'Hat', 'Person', 'Person', 'Animal', 'Animal', 'Animal', 'Animal', 'Hat', 'Hat']"
2,01243.png,"when your human says
""who' s a good girl?""
and you already know it's you
","['Dog', 'Mammal', 'Vertebrate', 'Dog breed', 'Canidae', 'American pit bull terrier', 'American staffordshire terrier', 'Pit bull', 'Carnivore', 'Snout']",['Dog']
3,01245.png,"and that was the last
nativity play my son was
invited to take part in.
","['Facial expression', 'Soldier', 'Military camouflage', 'Adaptation', 'Photo caption', 'Smile', 'Military', 'Photography', 'Airsoft', 'Plant']","['Hat', 'Person', 'Outerwear']"
4,01247.png,"you can't be racist if
there is no other race
","['Forehead', 'Photo caption', 'Poster', 'Font', 'Photography', 'Movie', 'Album cover']","['Clothing', 'Person']"
5,01256.png,"when your debit card
decline at the abortion
clinic
and they have to put
the baby back in
","['Dog', 'Vertebrate', 'Canidae', 'Mammal', 'Dog breed', 'Snout', 'Companion dog', 'Carnivore', 'Photo caption', 'Whiskers']",['Dog']
6,01258.png,"ladies!ityour man
is offended by this
he is a faggot, end of story
","['Hair', 'Eyewear', 'Cool', 'Glasses', 'Font', 'Photo caption', 'Fun', 'Sunglasses', 'Photography', 'Smile']","['Sunglasses', 'Person', 'Overall']"
7,01264.png,"you're a special kinda nuts
aren'tyou?
","['Wildlife', 'Adaptation', 'Photo caption', 'Organism', 'Terrestrial animal', 'Snout', 'Photography', 'Landscape', 'Fawn']",['Squirrel']
8,01268.png,"father and daughter bonding
time is the best
like and share if you agree
","['Photo caption', 'Text', 'Photography', 'Font', 'Smile', 'Happy', 'Comfort', 'Media']","['Hat', 'Person', 'Glasses', 'Hat', 'Glasses']"
9,01269.png,"kermit the frog
definitely not a muslim
","['Toy', 'Stuffed toy', 'Organism', 'Plush', 'Photo caption', 'Amphibian']","['Toy', 'Hat']"
10,01274.png,"how you guys think you looks like
but when pados wale pandit jee sees you
taba renso
","['Album cover', 'Poster', 'Headgear', 'Movie', 'Knit cap', 'Photo caption', 'Photography', 'Cap', 'Action film']","['Hat', 'Person']"
11,01275.png,"if you think t willl stop
eating palony and viannas
NEWS
NEWS
voetsek!!!
stupid
no hiraîn hére
","['Speech', 'Public speaking', 'Spokesperson', 'Photo caption', 'Orator', 'Album cover', 'Photography', 'Event', 'Music']","['Person', 'Tie', 'Glasses', 'Microphone', 'Microphone', 'Microphone']"
12,01276.png,"a smile is worth a
thousand-words
","['People', 'Photo caption', 'Text', 'Community', 'Font', 'Tree', 'Photography', 'Happy', 'Child', 'Grass']","['Person', 'Top', 'Person']"
13,01284.png,"AD
muslims offend me
","['Font', 'Photo caption', 'Photography', 'Media', 'Happy']","['Person', 'Top', 'Clothing', 'Person']"
14,01293.png,"when you forget to
wash your hands
","['Organism', 'Photo caption', 'Adaptation', 'Plant pathology', 'Parasite']",[]
15,01295.png,"men wearing dresses and
molestig our children?
the word you're looking for is
clergy, not transgender
","['Furniture', 'Photo caption', 'Chair', 'Table']","['Chair', 'Chair', 'Chair', 'Person', 'Chair', 'Chair', 'Hat', 'Luggage & bags']"
16,01324.png,"'the great train robbers
","['Team', 'Event', 'History']","['Person', 'Person', 'Person', 'Person', 'Person', 'Clothing', 'Suit', 'Clothing', 'Clothing', 'Clothing']"
17,01325.png,"when your world cup team
Scores a goal
","['People', 'Facial expression', 'Photo caption', 'Forehead', 'Text', 'Internet meme', 'Human', 'Nose', 'Smile', 'Chin']","['Person', 'Clothing']"
18,01327.png,"i'm not sick, i'm twisted
sick makes it sound
like there's a cure
","['Photo caption', 'Joker', 'Fictional character', 'Supervillain', 'Internet meme', 'Font', 'Adaptation', 'Smile']","['Person', 'Person', 'Clothing']"
19,01329.png,"saddle up motherfuckers
it's time to play cowboys
","['Hat', 'Headgear', 'Cowboy hat', 'Font', 'Photography', 'Fashion accessory', 'Photo caption', 'Sitting']","['Hat', 'Sun hat', 'Person', 'Person', 'Person', 'Jeans']"
20,01348.png,"meanwhile at the isis strip club
","['People', 'Facial expression', 'Product', 'Head', 'Smile', 'Human', 'Community', 'Friendship', 'Team', 'Adaptation']","['Hat', 'Hat', 'Person', 'Person', 'Animal', 'Animal', 'Animal', 'Animal', 'Animal', 'Hat']"
21,01349.png,"girl you're so special
I'm gonna give you a gold star
","['Photograph', 'Hairstyle', 'Photo caption', 'Photography', 'Stock photography', 'Smile', 'Black-and-white', 'Child']","['Person', 'Person', 'Clothing', 'Footwear']"
22,01359.png,"area 51
naruto
runners
naruto
runners
let me ii
let me in
","['Product', 'Photography', 'Sleeve', 'Advertising', 'White-collar worker', 'Photo caption', 'Brand', 'T-shirt', 'Shirt', 'Top']","['Hat', 'Tie', 'Person', 'Person', 'Shirt', 'Pants', 'Top']"
23,01364.png,"and that was the last nativity play my son was invited to take part in
",[],"['Person', 'Person', 'Hat', 'Person', 'Person', 'Hat', 'Hat', 'Hat', 'Luggage & bags', 'Hat']"
24,01379.png,"american teenage girl
visiting the children of africa
","['Hair', 'Facial expression', 'Hairstyle', 'Photo caption', 'Child', 'Forehead', 'Adaptation', 'Friendship', 'Human', 'Photography']","['Person', 'Person', 'Person', 'Clothing']"
25,01382.png,"my body my choice
","['Text', 'Font', 'Writing', 'Handwriting', 'Finger', 'Blackboard', 'Hand', 'Calligraphy', 'Writing instrument accessory', 'Thumb']",['Packaged goods']
26,01389.png,"confession-every sunday around brunch time
i take my cat to the mall and make
people take pictures of us
","['Cat', 'Photo caption', 'Felidae', 'Photography', 'Small to medium-sized cats', 'Friendship', 'Whiskers', 'Asian', 'Organism', 'Turkish van']","['Cat', 'Person', 'Hat']"
27,01392.png,"hello jesus
thanks for making a
way!
","['Hair', 'Hairstyle', 'Jheri curl', 'Forehead', 'Human', 'Smile', 'Cool', 'Photo caption', 'Happy', 'Photography']","['Person', 'Overall', 'Packaged goods']"
28,01395.png,"i just found out mexican babies come out
just like the food
","['Facial expression', 'Photo caption', 'Human', 'Birth', 'Child', 'Comfort', 'Adaptation', 'Smile', 'Baby', 'Happy']","['Glasses', 'Person', 'Person']"
29,01423.png,"when you want to nap
after a long day of mudding
","['Leg', 'Blond', 'Mouth', 'Photography', 'Flesh', 'Furniture', 'Muscle', 'Sleep', 'Photo caption', 'Thigh']","['Person', 'Pillow']"
30,01436.png,"when the school shooter
accidently shoots the autistic kid
but doesn't know that the tard
strength makes him impervious to
bullets
","['Tree frog', 'Frog', 'Text', 'Organism', 'Adaptation', 'Amphibian', 'Agalychnis', 'Photo caption', 'Tree frog', 'Wildlife']",[]
31,01439.png,"im long and strong
and down to get the goat
hump on
","['bighorn', 'Goats', 'Adaptation', 'Sheep', 'Goat-antelope', 'Wildlife', 'Organism', 'Livestock', 'Sheep', 'Rock']","['Animal', 'Animal', 'Deer', 'Antelope']"
32,01452.png,"the feeling after
a long day at work
","['Vertebrate', 'Mammal', 'Common chimpanzee', 'Primate', 'Photo caption', 'Terrestrial animal', 'Organism', 'Friendship', 'Adaptation', 'Wildlife']",['Animal']
33,01456.png,"R Konser
they see them rollin.
they hating.
","['Crew', 'Team']","['Person', 'Person', 'Person', 'Clothing', 'Person', 'Person', 'Clothing', 'Person', 'Clothing', 'Person']"
34,01459.png,"trust me.
..they're re all terrorists
","['Text', 'Font', 'Design', 'Organism', 'Photography', 'Happy', 'Pattern', 'Love', 'Photo caption', 'Smile']","['Person', 'Pants', 'Jeans']"
35,01465.png,"there isdifference between violating muslims-and-othermuslims,
dont get confused
","['Event', 'Photo caption']","['Person', 'Person', 'Person', 'Hat', 'Hat', 'Hat', 'Hat', 'Hat']"
36,01467.png,"it's a great day
to be a honky!
","['Facial expression', 'Shoulder', 'Arm', 'Forehead', 'Chin', 'Joint', 'Smile', 'Photo caption', 'Hand', 'Jaw']","['Person', 'Top']"
37,01468.png,"assad: my son exploded better than
yours, lol
hamid:
","['Photo caption', 'Room', 'Photography', 'Hand', 'Play', 'Finger', 'Selfie', 'Plumbing fixture', 'Table', 'Child']","['Person', 'Toilet', 'Sink']"
38,01469.png,"when you punch the muslim kid so hard that he starts having
seizures and fucking dies
the bomb has been defused
","['Pc game', 'Movie', 'Personal protective equipment', 'Action film', 'Fictional character', 'Games', 'Font', 'Photography', 'Video game software', 'Soldier']","['Helmet', 'Person', 'Person']"
39,01472.png,"in my country this headdress is common to wear if you want to.
here in other countries i am also free to wear it if i want to
","['Skin', 'Beauty', 'Scarf', 'Lip', 'Cheek', 'Fashion', 'Turban', 'Headgear', 'Photography', 'Fashion accessory']","['Person', 'Hat', 'Tableware', 'Scarf', 'Luggage & bags', 'Drink']"
40,01475.png,"last time muslims
invaded europe
vlad stuck poles up their
asses and made a fucking forest
be like vlad
","['Photo caption', 'Poster', 'Internet meme', 'Photography']","['Hat', 'Person']"
41,01476.png,"im confident in my own ski
","['Fashion', 'Photography', 'Sleeve']","['Person', 'Belt', 'Pants', 'Top', 'Clothing']"
42,01483.png,"feeling bored, let's go to a mosque
","['People', 'Event', 'Human', 'Headgear', 'Photo caption', 'Smile']","['Person', 'Person', 'Person', 'Hat', 'Person', 'Person', 'Person', 'Hat', 'Person', 'Person']"
43,01487.png,"when you foryet
HOWAR
SIRIUS
TADIO
SIRI
HOWARD T
STERN
SIR
HOWARD
STERN
IHI
US
SATEL
19-06
SIP
HONARD
STERN
LADIO
SIRI""
06
SIRI
SATELLIT
90-6-
ELLITE RADIO
SIRIUSA
STERN
SATELLIT
HOWARD STERN
you're retarded
HC
","['Font', 'Tabloid', 'Magazine', 'Poster', 'Photo caption', 'Advertising', 'Media', 'Flyer', 'Newsprint']","['Glasses', 'Person']"
44,01492.png,"i don't like the sun
so i wear a visor
","['Muscle', 'Photo caption', 'Photography', 'Smile', 'Chest']","['Person', 'Hat', 'Swimwear']"
45,01497.png,"now back to the
islamic classic.
married
to
children
","['Adaptation', 'Human', 'Photo caption', 'Photography']","['Person', 'Hat', 'Outerwear', 'Person', 'Person', 'Luggage & bags']"
46,01498.png,"democrats claim daca kids
shouldn't have to pay for
their parent's crimes.
.but white people are
still responsible for 17th
century slave owners??
","['Hair', 'Face', 'Facial expression', 'Hairstyle', 'Eyebrow', 'Text', 'Chin', 'Forehead', 'Photo caption', 'Nose']","['Person', 'Clothing']"
47,01524.png,"when you catch your
goat with another man
","['Jeans', 'Denim', 'Belt', 'Handgun holster', 'Hand', 'Waist', 'Pocket', 'Font', 'Textile', 'Gun accessory']","['Jeans', 'Person', 'Belt']"
48,01526.png,"put the money in a bag. now! that will be $0.15
","['Product', 'Job', 'Electronics', 'Technology', 'Output device', 'Electronic device', 'Customer', 'Employment', 'Learning', 'Computer']","['Person', 'Overall', 'Computer keyboard', 'Computer monitor', 'Grooming trimmer']"
