,index,Image_id,Hate_label,FB_text,google_raw_text,label_list,object_list,Semi_cleaned_text,Sarcasm_label,Category
0,0,42953.png,0,its their character not their color that matters,"its their character
nọt their color
that matters
","['Photo caption', 'Forehead', 'Internet meme', 'Font', 'Photography', 'Media']","['Person', 'Person', 'Clothing']",it their character not their color that matters,0,3
1,1,13894.png,0,putting bows on your pet,"putting bows on your pet
","['Cat', 'Small to medium-sized cats', 'Mammal', 'Felidae', 'Korat', 'Nebelung', 'Chartreux', 'Whiskers', 'Carnivore', 'Russian blue']","['Cat', 'Bowtie', 'Cat']",putt bowing to your petting,0,5
2,2,37408.png,0,i love everything and everybody! except for squirrels i hate squirrels,"i love everything and everybody!
except for squirrels i hate squirrels
","['Dog', 'Mammal', 'Vertebrate', 'Dog breed', 'Canidae', 'Rottweiler', 'Carnivore', 'Working dog', 'Molosser', 'Snout']","['Dog', 'Dog']",i love everything and everybody except for squirrels i hate squirrels,0,5
3,3,82403.png,0,"everybody loves chocolate chip cookies, even hitler","everybody loves chocolate
chip cookies, even hitler
","['Text', 'Font', 'Photo caption', 'Photography', 'Black-and-white', 'Music', 'Media']","['Person', 'Clothing']",everybody loves chocolates chip corky evens hitler,1,5
4,4,16952.png,0,go sports! do the thing! win the points!,"pan
71
go sports! do the thing! win the points!
","['Sports', 'Basketball player', 'Player', 'Team sport', 'Basketball', 'Ball game', 'Tournament', 'Basketball moves', 'Basketball court', 'Sport venue']","['Shorts', 'Shorts', 'Shorts', 'Person', 'Shoe', 'Person', 'Person', 'Shoe', 'Shorts', 'Shorts']",pan go sported do the thing win the point,0,5
5,5,76932.png,0,fine you're right. now can we fucking drop it?,"fine
you're right. now can we
fucking drop it?
","['Vertebrate', 'Wildlife', 'Lion', 'Masai lion', 'Mammal', 'Terrestrial animal', 'Felidae', 'Big cats', 'Adaptation', 'Organism']","['Lion', 'Lion']",fine you are right now can we fucking drop it,0,5
6,6,70914.png,0,tattoos are bad for your health i know 5 million people that had tattoos and they all died,"tattoos are bad for your health
i know 5 million people that had tattoos and they all died
","['Skin', 'Hand', 'Headgear', 'Font', 'Mouth', 'Finger', 'Photo caption', 'Muscle', 'Smile', 'Jaw']","['Person', 'Bracelet', 'Top']",tattoo is bad for your health i know million people that had tattoo and they all died,0,5
7,7,02973.png,0,how long can i run? till the chain tightens,"how long can i run?
till the chain tightens
","['Dog', 'Canidae', 'Dog breed', 'Photo caption', 'Nose', 'Snout', 'Photography', 'Carnivore', 'Street dog', 'Font']",['Dog'],how long can i run till the chain tightens,1,5
8,9,79351.png,1,jew mad? get fuhrerious!,"jew mad?
get fuhrerious!
","['Forehead', 'Font', 'Photo caption', 'Album cover', 'Sky', 'Poster', 'Photography', 'Movie']","['Clothing', 'Person']",jew maddest get fuhrer you,1,3
9,10,79346.png,0,voting for hillary is like letting casey anthony watch your kids because she's not guilty,"voting for hillary is like
letting casey anthony watch your kids
because she's not guilty
","['Hair', 'Face', 'Facial expression', 'Skin', 'Eyebrow', 'Nose', 'Chin', 'Hairstyle', 'Forehead', 'Beauty']","['Person', 'Person', 'Earrings', 'Outerwear', 'Glasses', 'Person']",vote for hillary is like letting casey anthony watch your kid because she is not guilty,0,5
10,11,13426.png,0,they will soon be free,"they will soon be free
","['Fun', 'Event', 'Parade', 'Festival', 'Public event', 'Interaction', 'Smile', 'Style']","['Person', 'Person', 'Scarf', 'Jeans', 'Person', 'Person', 'Person']",they will soon be free,0,1
11,13,14238.png,0,most religions are religions of peace,"most religions are
religions of peace
","['Facial hair', 'Beard', 'Moustache', 'Forehead', 'Photo caption', 'Guru']","['Person', 'Hat']",most religions is religion of peace,1,2
12,15,02146.png,0,from the bottom of my heart i would like to sincerely apologize..... for being white,"tom te boton ai nybeatuut Ke o sherap apologte.
for being wite
","['Bird', 'Vertebrate', 'Parrot', 'Lovebird', 'Parakeet', 'Beak', 'Budgie', 'Adaptation', 'lorikeet', 'Macaw']","['Parrot', 'Parrot', 'Parrot', 'Parrot', 'Bird']",tom te bot of a of a beat jutting ke o she raps apo log te to be wite,1,3
13,16,70146.png,0,"lets erect a memorial to all the americans murdered by an illegal alien make it 1,500 miles long 30 feet tall and put it on the southern border","lets erect a memorial to all the americans
murdered by an illegal alien
make it 1,500 miles long 30 feet tall
and put it on the southern border
","['Dog breed', 'Dog', 'Mammal', 'Canidae', 'Bulldog', 'Olde english bulldogge', 'British bulldogs', 'Snout', 'Old english bulldog', 'Australian bulldog']",['Dog'],let us erect a memorial to all the american murdered by an illegal alien make it mile long foot tall and put it on the southern border,0,4
14,19,15872.png,0,when you come home from a long day of suicide bombinb and your wife gives you this look,"when you come home from
a long day of suicide bombinb
and your wife gives you this look
","['Text', 'Chin', 'Photo caption', 'Job', 'Font', 'Internet meme', 'Photography', 'Smile', 'Media', 'White-collar worker']","['Person', 'Clothing']",when you come home from a long day of suicide bombing by band your wife gives you this look,1,5
15,20,72640.png,1,"is bribing muslims for liberal votes justin trudeau's only skill? why does justin trudeau love foreigners so much while openly disrespecting canadians, canadian values, our history and traditions, our seniors and veterans? sharia law has no place in canada! never has... never will.","is bribing muslims for liberal
votes justin trudeau's only skill?
why does justin trudeau love foreigners so much while
openly disrespecting canadians, canadian values, our
history and traditions, our seniors and veterans?
sharia law has no place in canada!
never has... never will..
","['Photo caption', 'Photography', 'Adaptation', 'Tree', 'Gesture', 'Movie', 'Happy']",['Person'],is bribing muslim for liberal vote justin trudeau i only skill why doe justin trudeau love foreigner so much while openly disrespecting canadian canadian value our history and tradition our senior and veteran sharia law ha no place in canada never ha never will,0,4
16,22,17956.png,0,one simple question why are we letting one man systematically destroy our nation before our eyes? answer mitch mcconnell,"one simple question
why are we letting one
man systematically destroy
our nation before our eyes?
answer
mitch mcconnell
","['Text', 'Official', 'Photo caption', 'Job', 'Businessperson', 'Font', 'Media', 'White-collar worker', 'Spokesperson']","['Tie', 'Person', 'Suit']",one simple question why are we letting one man systematically destroy our nation before our eyes answer mitch mcconnell,0,4
17,24,10743.png,0,move to new york they said it'll be fun they said,"move to new york they said it'll be fun they said
","['Snow', 'Freezing', 'Winter', 'Adaptation', 'Winter storm', 'Snowman', 'Blizzard']","['Person', 'Person', 'Pants', 'Person', 'Luggage & bags']",move of new york they say it will be fun they say,1,5
18,25,37091.png,0,my sandwich-maker is very slow today,"my sandwich-maker
is very slow today
","['Meal', 'Food', 'Natural foods', 'Vegetable', 'Room', 'Vegetarian food', 'Cuisine', 'Local food', 'Vegan nutrition', 'Recipe']","['Person', 'Food', 'Packaged goods', 'Packaged goods', 'Tableware', 'Tableware', 'Tableware', 'Tableware', 'Packaged goods']",my sandwich maker is very slow today,1,1
